2,2,5,4,2,5,4,4,1,3,5,1,1,3,4,1,3,1,3,1,4,5,4,3,2,1,1,1,4,2,3,2,1,3,4,3,4,3,4,3,5,1,1,3,5,5,1,4,5,1,4,3,2,3,4,3,4,5,3,3,1,3,20,1
3,2,4,5,4,1,4,4,3,4,3,2,1,2,5,4,4,1,2,1,2,4,3,2,4,4,4,1,3,1,3,1,3,3,4,4,4,4,2,4,2,2,5,4,4,4,1,4,3,5,3,4,5,3,2,3,4,1,4,2,5,2,19,1
1,2,5,3,5,3,4,5,1,5,2,4,1,3,5,4,4,1,5,5,5,4,2,5,3,2,5,5,1,3,3,3,3,2,3,4,3,5,3,4,4,3,4,3,2,4,4,4,4,3,3,3,4,5,3,2,4,1,4,3,4,2,20,1
4,4,4,5,3,1,3,4,5,2,1,1,5,5,5,5,4,3,3,1,1,2,5,5,5,1,5,4,3,3,1,1,2,1,1,5,3,1,3,3,2,5,5,4,5,3,3,2,2,1,2,1,1,999,2,2,4,3,3,4,4,1,22,1
3,1,2,3,5,5,5,4,2,3,3,2,1,3,5,5,5,1,3,1,3,3,4,3,5,3,4,5,3,3,3,2,4,3,4,2,3,3,3,3,5,4,2,3,5,5,2,3,5,3,3,2,4,3,3,4,3,4,3,3,2,4,20,1
2,2,3,3,3,1,3,4,3,2,3,1,4,2,5,4,4,1,4,2,3,5,5,2,4,3,3,3,3,2,3,1,2,3,4,3,3,4,2,2,3,4,3,4,4,4,3,3,4,4,3,3,3,5,3,2,3,3,3,1,4,4,20,2
3,5,5,5,3,3,4,5,3,4,4,1,2,2,5,3,5,1,4,1,5,5,5,3,2,3,1,5,3,3,3,1,1,4,5,5,4,5,4,3,2,3,3,4,3,3,5,5,4,3,3,2,2,4,4,4,3,1,3,4,1,5,20,1
3,1,3,2,4,3,3,3,1,4,4,2,1,3,5,3,5,2,1,2,3,5,2,2,5,3,2,4,4,1,4,2,3,1,4,3,4,2,4,3,4,3,1,4,5,2,2,4,4,3,4,2,5,4,3,3,4,4,4,4,3,2,19,2
1,2,1,4,2,5,5,4,1,4,2,2,1,4,1,3,2,2,5,1,1,4,5,4,5,4,5,5,4,1,2,1,3,2,2,3,4,4,2,2,4,1,3,3,4,5,4,3,1,5,3,5,5,1,4,2,1,3,2,1,3,4,18,1
4,2,2,3,3,5,4,5,3,4,3,1,2,5,5,4,5,1,4,1,4,5,4,2,3,4,2,5,3,2,3,3,3,1,4,4,3,4,4,4,3,4,3,4,5,3,5,4,4,1,3,3,4,3,3,4,4,4,2,3,2,4,19,1
3,2,4,2,3,3,4,4,1,3,2,1,1,5,5,4,5,2,5,2,3,5,4,2,3,3,3,4,3,1,3,1,3,3,3,3,4,3,3,4,5,2,1,3,3,3,5,4,3,2,3,2,4,3,4,2,4,2,3,4,2,2,19,1
3,1,5,3,1,1,3,3,3,3,5,3,5,3,1,5,3,5,5,1,1,2,2,4,5,2,3,1,3,3,4,3,4,3,5,5,2,5,3,3,5,4,3,5,5,2,4,3,3,1,3,3,5,4,4,2,2,1,3,1,1,2,17,1
4,3,5,4,5,1,5,5,4,4,3,1,2,5,5,5,2,5,5,3,2,5,5,5,2,5,3,1,3,2,3,3,2,2,1,4,4,2,3,4,5,5,5,3,3,2,5,4,3,4,3,1,3,2,4,4,1,1,2,3,2,3,24,1
5,3,3,2,3,3,5,4,3,3,3,2,2,5,3,5,5,1,4,2,3,5,5,2,3,3,2,3,4,1,3,1,2,3,2,3,5,3,4,3,3,2,3,4,5,3,4,4,4,5,4,2,5,5,3,3,5,2,3,4,3,3,19,1
4,5,5,2,5,5,5,4,1,5,4,1,4,5,5,5,5,5,5,1,5,5,4,2,1,5,1,5,4,3,5,1,2,3,1,4,4,1,4,5,5,1,4,2,3,3,5,5,4,1,4,3,1,2,4,5,3,1,5,5,1,4,22,1
2,999,999,5,3,1,5,4,5,3,5,1,5,3,5,5,4,1,4,5,3,5,5,4,5,2,5,1,3,1,3,2,2,1,2,5,3,2,3,4,4,5,5,4,3,3,4,2,4,5,3,2,3,3,4,3,3,1,3,3,5,5,18,2
2,3,2,5,5,5,2,3,5,4,5,3,3,5,2,3,4,1,5,3,3,5,2,2,5,3,5,4,3,1,4,2,4,3,4,3,4,3,3,2,2,3,3,4,4,3,4,4,4,2,3,2,4,4,3,3,4,4,3,3,3,3,19,1
4,2,5,3,4,5,5,3,2,2,3,5,5,2,5,4,5,2,3,5,3,5,3,4,2,4,5,2,2,2,2,3,4,2,5,5,4,4,4,5,4,3,5,2,3,4,5,2,2,3,2,2,2,4,1,1,5,2,999,2,2,5,20,1
2,4,3,4,5,3,4,5,3,5,3,2,1,3,1,2,5,1,4,3,1,2,5,4,4,3,4,5,3,1,2,1,2,3,4,3,4,3,2,4,3,3,1,5,5,3,1,3,3,4,3,2,2,4,3,4,2,4,4,4,5,4,18,2
3,1,1,1,4,1,4,5,3,4,3,1,3,4,3,3,5,1,5,2,1,1,5,2,5,3,3,1,4,1,4,2,2,2,4,4,3,2,2,4,3,1,2,4,3,2,1,4,3,4,5,1,5,4,2,2,3,4,4,3,3,3,18,2
3,2,3,3,2,1,2,4,2,1,3,1,4,2,5,4,3,1,3,2,4,5,5,2,4,3,3,3,4,2,3,1,2,3,4,3,3,4,3,4,3,3,3,4,3,3,4,3,4,4,3,4,3,5,3,2,3,3,2,2,4,4,20,2
